"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1087";"440283752";"44028375200812";"46.39B";"21";"CSF";"GE";"AV";"DE TOULOUSE";"34070";"MONTPELLIER"
"1088";"440283752";"44028375202271";"46.39B";"NN";"CSF";"GE";"RUE";"WEBER";"30900";"NIMES"
"1089";"440283752";"44028375203741";"46.39B";"21";"CSF";"GE";"RTE";"DE JACOU";"34920";"LE CRES"
"1090";"440292563";"44029256300010";"90.01Z";"01";"POUR L INSTANT";"PME";"AV";"DE LIMOGES";"79000";"NIORT"
"1091";"440345486";"44034548600045";"87.20A";"21";"ASS DEP PUPILLES ENSEIGNEMENT PUBLIC";"PME";"AV";"LOUIS LEPINE";"84700";"SORGUES"
"1092";"440346484";"44034648400031";"46.90Z";"11";"PRODIS";"PME";"RUE";"DE ROME";"93110";"ROSNY-SOUS-BOIS"
"1093";"440359685";"44035968500037";"59.13A";"NN";"BODEGA FILMS";"PME";"PAS";"DE LA BOULE BLANCHE";"75012";"PARIS 12"
"1094";"440370443";"44037044300036";"90.01Z";"01";"SNAPSHOT";"PME";"RUE";"JACQUES DRAPARNAUD";"34000";"MONTPELLIER"
"1095";"440441426";"44044142600077";"90.01Z";"01";"ILLUSION & MACADAM";"PME";"RUE";"DE L AIGUILLERIE";"34000";"MONTPELLIER"
"1096";"440441889";"44044188900027";"59.11A";"02";"L'EQUIPEE";"PME";"RUE";"CHONY";"26500";"BOURG-LES-VALENCE"
"1097";"440443307";"44044330700028";"86.10Z";"12";"ACCUEIL LE BEL AGE";"PME";"";"ROUTE DE RAVINE CHAUDE";"97129";"LAMENTIN"
"1098";"440465862";"44046586200017";"90.01Z";"0";"CIE DES NUITS PARTAGEES";"PME";"RUE";"PIERRE FERMAUD";"34070";"MONTPELLIER"
"1099";"440511731";"44051173100026";"94.99Z";"11";"NOE";"PME";"RUE";"LAROCHELLE";"75014";"PARIS 14"
"1100";"440521821";"44052182100049";"90.01Z";"0";"THEATRE DE LA REMISE";"PME";"RUE";"DE LOUVAIN";"34000";"MONTPELLIER"
"1101";"440537272";"44053727200039";"46.16Z";"02";"555 SARL";"PME";"RTE";"D AVIGNON";"84170";"MONTEUX"
"1102";"440545523";"44054552300019";"94.20Z";"01";"UNION INTERPROFESSIONNELLE CFDT MAYOTTE";"PME";"RUE";"BABOUL HAIRI";"97600";"MAMOUDZOU"
"1103";"440562429";"44056242900025";"46.73B";"03";"TOT COLOR FRANCE";"PME";"RUE";"LOUIS DELAUNAY";"66000";"PERPIGNAN"
"1104";"440685964";"44068596400080";"55.30Z";"01";"ODALYS PLEIN AIR";"ETI";"RUE";"DE LUXEMBOURG";"34300";"AGDE"
