"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"155";155;155;155;155;33977442400057;"ITEP BOURNEVILLE";11;176,285714285714;"";"";NA;"";""
"156";156;156;156;156;34401193700010;"STAND'ART/ VICTOIRE 2";11;86,7142857142858;"";"";NA;"";""
"157";157;157;157;157;34774363500026;"LIGUE CONTRE LE CANCER";11;142,285714285714;"";"";NA;"";""
"158";158;158;158;158;43276694700019;"POLYNESIE 1ERE FTV";11;107;"";"";NA;"";""
"159";159;159;159;159;49303867300023;"RESIDENCE LA MARTEGALE";11;138,142857142857;"";"";NA;"";""
"160";160;160;160;160;49399968400050;"IME DU CHATEAU D'O";11;164,857142857143;"";"";NA;"";""
"161";161;161;161;161;58212223000029;"CAMERON FRANCE";11;244,142857142857;"";"";NA;"";""
"162";162;162;162;162;77591322100013;"INSTITUT EMMANUEL D'ALZON";11;44,7142857142857;"";"";NA;"";""
"163";163;163;163;163;82174120400019;"SILO";11;115;"";"";NA;"";""
"164";164;164;164;164;85097937800013;"ASSOCIATION LUK JUNIOR CONSEIL";11;40;"";"";NA;"";""
"165";165;165;165;165;NA;"DISCOVERY PUBLISHER";11;101,857142857143;"";"";NA;"";""
"166";166;166;166;166;NA;"ECOLE FRANCAISE D'ATHENES";11;48,8571428571429;"";"";NA;"";""
"167";167;167;167;167;13000804800014;"AGENCE REGIONALE DE SANTE OCCITANIE";10;179,428571428572;"";"";NA;"";""
"168";168;168;168;168;19340051200011;"COLLEGE FONTCARRADE";10;70,7142857142857;"";"";NA;"";""
"169";169;169;169;169;19340086800017;"COLLEGE FREDERIC BAZILLE";10;54,7142857142857;"";"";NA;"";""
"170";170;170;170;170;19341363000016;"COLLEGE DE LA VOIE DOMITIENNE";10;49;"";"";NA;"";""
"171";171;171;171;171;21340003900011;"COMMUNE D'AGDE";10;103,571428571429;"";"";NA;"";""
"172";172;172;172;172;21340077300031;"ECOLE ELEMENTAIRE VICTOR HUGO";10;14,7142857142857;"";"";NA;"";""
"173";173;173;173;173;21340172200110;"ECOLE ELEMENTAIRE JEANNE D'ARC";10;23,4285714285714;"";"";NA;"";""
"174";174;174;174;174;21340172200169;"ECOLE ELEMENTAIRE GEORGES SIMENON";10;112,714285714286;"";"";NA;"";""
"175";175;175;175;175;21340172200193;"ECOLE MATERNELLE ROBERT SURCOUF";10;42,4285714285714;"";"";NA;"";""
"176";176;176;176;176;21340172201548;"ECOLE ELEMENTAIRE JOSEPH DELTEIL";10;24,4285714285714;"";"";NA;"";""
"177";177;177;177;177;21340270400018;"MAIRIE DE SAINT JEAN DE VEDAS";10;111,714285714286;"";"";NA;"";""
"178";178;178;178;178;21340337100023;"ECOLE ELEMENTAIRE PIERRE BOUISSINET";10;21,1428571428571;"";"";NA;"";""
