;�..Libelleetape;Filiere;Filiere_global
221;Licence Humanités Parcours Etude et pratique du français 2ème année;Humanités;Humanités
222;Licence Humanités Parcours Etude et pratique du français 3ème année;Humanités;Humanités
223;Licence Humanités Parcours Lettres classiques 1ère année;Humanités;Humanités
224;Licence Humanités Parcours Lettres classiques 2ème année;Humanités;Humanités
225;Licence Humanités Parcours Lettres classiques 3ème année;Humanités;Humanités
226;Licence Humanités Pcs Cultures des mondes antiques et médiévaux 1ère année;Humanités;Humanités
227;Licence Humanités Pcs Cultures des mondes antiques et médiévaux 2ème année;Humanités;Humanités
228;Licence Humanités Pcs Lettres et sciences humaines (CPGE AL) 2ème année;Humanités;Humanités
229;Enseignement à distance Master 1 Humanités numériques Pcs Médiation numérique et ingénierie pédagogique;Humanités numériques;Humanités
230;Béziers : Licence Information-communication 1ère année;Information et communication;Information
231;Béziers : Licence Information-communication 2ème année;Information et communication;Information
232;Béziers : Licence Information-communication 3ème année;Information et communication;Information
233;Béziers Master 1 Information, communication Pcs Relations publiques;Information et communication;Information
234;Béziers: Master 1 Information et communication (parcours Gestion de l'information et de la documentation);Information et communication;Information
235;Béziers: Master 2 Information et Communication - Gestion de l'information et de la documentation (pcs Pro Documenta);Information et communication;Information
236;Enseignement à distance: Master 1 Information et communication (pcs Gestion de l'information et de la documentation);Information et communication;Information
237;Licence Information-communication 2ème année;Information et communication;Information
238;Licence Information-communication 3ème année;Information et communication;Information
239;Master 1 Information et communication (parcours Pragmatique de la communication, organisations, innovations);Information et communication;Information
240;Master 1 Information, communication Pcs Communication publique, associative et culturelle;Information et communication;Information
241;Master 1 Information, communication Pcs Communications numériques et organisations;Information et communication;Information
242;Master 1 Information, communication Pcs Pratiques et stratégies du changement;Information et communication;Information
243;Master 2 Information et Communication-Pragmatique de la communication (pcs Pro Communications des organisations);Information et communication;Information
244;Master 2 Information et Communication-Pragmatique de la communication (pcs Rech Pragmatique de la comm. et innovations);Information et communication;Information
245;Master 2 Information, communication Pcs Communication publique, associative et culturelle;Information et communication;Information
246;Master 2 Information, communication Pcs Communications numériques et organisations;Information et communication;Information
247;Master 2 Information, communication Pcs Pratiques et stratégies du changement;Information et communication;Information
248;Enseignement à distance Master 2 Information, documentation Pcs Analyse des enjeux et des pratiques en documentation;Information et documentation;Information
249;Enseignement à distance Master 2 Information, documentation Pcs Gestion de l'information et médiation documentation;Information et documentation;Information
250;Enseignement à distance Master 2 Information, documentation Pcs Management et valorisation de l'information numérique;Information et documentation;Information
251;Master 1 Information, documentation Pcs Gestion de l'information et de la documentation;Information et documentation;Information
252;Master 2 Information, documentation Pcs Gestion de l'information et médiation documentaire;Information et documentation;Information
253;Master 2 Information, documentation Pcs Management et valorisation de l'information numérique;Information et documentation;Information
254;Enseignement à distance Master 1 Information, documentation Pcs Gestion de l'information et de la documentation;Information et documentation;Information
255;Enseignement à distance: Master 2 IC - Gestion de l'information et de la documentation (pcs Pro Documenta);Gestion de l'information et de la documentation;Information
256;Enseignement à distance: Master 2 IC - Gestion de l'information et de la documentation (pcs Recherche);Gestion de l'information et de la documentation;Information
257;Licence Information-communication 1ère année;Information et communication;Information
258;Licence LEA Anglais-Espagnol 3ème année;LEA;LEA
259;Licence LEA Autres parcours 2ème année;LEA;LEA
260;Licence LEA Autres parcours 3ème année;LEA;LEA
261;Licence LEA Pcs Anglais-Allemand 1ère année;LEA;LEA
262;Licence LEA Pcs Anglais-Allemand 2ème année;LEA;LEA
263;Licence LEA Pcs Anglais-Allemand 3ème année;LEA;LEA
264;Licence LEA Pcs Anglais-Arabe 1ère année;LEA;LEA
265;Licence LEA Pcs Anglais-Arabe 2ème année;LEA;LEA
266;Licence LEA Pcs Anglais-Arabe 3ème année;LEA;LEA
267;Licence LEA Pcs Anglais-Chinois 1ère année;LEA;LEA
268;Licence LEA Pcs Anglais-Chinois 2ème année;LEA;LEA
269;Licence LEA Pcs Anglais-Chinois 3ème année;LEA;LEA
270;Licence LEA Pcs Anglais-Espagnol 1ère année;LEA;LEA
271;Licence LEA Pcs Anglais-Espagnol 2ème année;LEA;LEA
272;Licence LEA Pcs Anglais-Espagnol 3ème année;LEA;LEA
273;Licence LEA Pcs Anglais-Grec moderne 2ème année;LEA;LEA
274;Licence LEA Pcs Anglais-Grec moderne 3ème année;LEA;LEA
275;Licence LEA Pcs Anglais-Italien 1ère année;LEA;LEA
276;Licence LEA Pcs Anglais-Italien 2ème année;LEA;LEA
277;Licence LEA Pcs Anglais-Italien 3ème année;LEA;LEA
278;Licence LEA Pcs Anglais-Portugais 1ère année;LEA;LEA
279;Licence LEA Pcs Anglais-Portugais 2ème année;LEA;LEA
280;Licence LEA Pcs Anglais-Portugais 3ème année;LEA;LEA
281;Licence LEA Pcs Anglais-Russe 2ème année;LEA;LEA
282;Licence LEA Pcs Anglais-Russe 3ème année;LEA;LEA
283;Licence LEA Pcs Espagnol-Arabe 2ème année;LEA;LEA
284;Licence LEA Pcs Espagnol-Arabe 3ème année;LEA;LEA
285;Licence LEA Pcs Espagnol-Italien 3ème année;LEA;LEA
286;Licence LEA Pcs Espagnol-Portugais 1ère année;LEA;LEA
